,model,region,scenario,unit,variable,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
0,REMIND-MAGPIE,World,ssp585,Mt BC / yr,Emissions|BC,9.7274,9.4165,8.4366,8.0625,6.9009,6.5697,6.0885,5.4241,4.4047,3.3138
1,REMIND-MAGPIE,World,ssp585,Mt CH4 / yr,Emissions|CH4,388.073,397.464,454.468,542.293,590.298,597.91,597.128,568.979,513.331,482.145
2,REMIND-MAGPIE,World,ssp585,Mt CO / yr,Emissions|CO,934.35,884.161,754.609,706.197,671.951,675.591,666.542,653.751,616.607,576.646
3,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,3517.44,3949.69,4546.87,3435.74,2052.99,139.396,-229.931,-147.852,-495.368,-1530.32
4,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,35635.3,39762.7,50749.7,65340.0,81245.2,100199.0,117035.0,129795.0,131072.0,127818.0
5,REMIND-MAGPIE,World,ssp585,Mt NH3 / yr,Emissions|NH3,65.2797,69.6816,77.1604,80.8959,81.112,83.3963,85.2471,84.5319,84.6476,81.5254
6,REMIND-MAGPIE,World,ssp585,Mt NOx / yr,Emissions|NOx,155.52,162.672,162.37,169.626,161.214,164.962,157.301,145.374,123.551,98.7306
7,REMIND-MAGPIE,World,ssp585,Mt OC / yr,Emissions|OC,34.746,30.9321,24.4034,21.3377,20.3326,19.7663,19.3602,18.9423,18.2181,17.6029
8,REMIND-MAGPIE,World,ssp585,Mt SO2 / yr,Emissions|Sulfur,100.771,80.1508,71.5095,71.474,60.442,63.8658,61.3976,53.2935,41.935,29.5147
9,REMIND-MAGPIE,World,ssp585,Mt VOC / yr,Emissions|VOC,227.245,229.234,218.806,209.566,204.304,207.515,203.193,200.116,188.573,163.313
10,REMIND-MAGPIE,World,ssp585,kt C2F6 / yr,Emissions|C2F6,1.57,2.0176,1.3588,0.9371,0.6675,0.4947,0.3841,0.3133,0.1876,0.1876
11,REMIND-MAGPIE,World,ssp585,kt C3F8 / yr,Emissions|C3F8,0.4478,0.5755,0.3876,0.2673,0.1904,0.1411,0.1096,0.0894,0.0535,0.0535
12,REMIND-MAGPIE,World,ssp585,kt C4F10 / yr,Emissions|C4F10,0.0994,0.1278,0.086,0.0593,0.0423,0.0313,0.0243,0.0198,0.0118,0.0118
13,REMIND-MAGPIE,World,ssp585,kt C5F12 / yr,Emissions|C5F12,0.0435,0.0559,0.0377,0.026,0.0185,0.0137,0.0106,0.0087,0.0052,0.0052
14,REMIND-MAGPIE,World,ssp585,kt C6F14 / yr,Emissions|C6F14,0.35,0.4498,0.303,0.2089,0.1488,0.1103,0.0857,0.0698,0.0418,0.0418
15,REMIND-MAGPIE,World,ssp585,kt C7F16 / yr,Emissions|C7F16,0.2338,0.3005,0.2023,0.1396,0.0994,0.0737,0.0572,0.0467,0.0279,0.0279
16,REMIND-MAGPIE,World,ssp585,kt C8F18 / yr,Emissions|C8F18,0.1014,0.1303,0.0878,0.0605,0.0431,0.032,0.0248,0.0202,0.0121,0.0121
17,REMIND-MAGPIE,World,ssp585,kt CCl4 / yr,Emissions|CCl4,47.5476,34.8954,18.7952,10.1234,5.4526,2.9369,1.5818,0.852,0.4589,0.2461
18,REMIND-MAGPIE,World,ssp585,kt CF4 / yr,Emissions|CF4,10.8699,12.7461,10.3582,8.8363,7.8588,7.2291,6.8289,6.5731,6.1178,6.1178
19,REMIND-MAGPIE,World,ssp585,kt CFC11 / yr,Emissions|CFC11,43.5734,35.1105,22.7964,14.8012,9.6101,6.2396,4.0512,2.6304,1.7078,1.1067
20,REMIND-MAGPIE,World,ssp585,kt CFC113 / yr,Emissions|CFC113,0.8742,0.411,0.0909,0.0201,0.0044,0.001,0.0002,0.0,-0.0,0.0
21,REMIND-MAGPIE,World,ssp585,kt CFC114 / yr,Emissions|CFC114,1.6696,0.8978,0.2594,0.0751,0.0217,0.0063,0.0018,0.0004,0.0002,0.0
22,REMIND-MAGPIE,World,ssp585,kt CFC115 / yr,Emissions|CFC115,1.6714,1.3855,0.9519,0.6544,0.4498,0.3091,0.2124,0.1459,0.1002,0.0686
23,REMIND-MAGPIE,World,ssp585,kt CFC12 / yr,Emissions|CFC12,14.6096,6.0003,1.0122,0.1707,0.0288,0.0049,0.0008,0.0001,-0.0,0.012
24,REMIND-MAGPIE,World,ssp585,kt CH2Cl2 / yr,Emissions|CH2Cl2,1267.98,1583.21,1830.52,1869.29,2158.83,2524.41,2977.41,3262.15,3278.13,3198.7
25,REMIND-MAGPIE,World,ssp585,kt CH3Br / yr,Emissions|CH3Br,133.823,142.015,129.958,122.239,117.305,114.142,112.118,110.822,108.521,108.521
