,model,region,scenario,unit,variable,Year,Emissions
0,REMIND-MAGPIE,World,ssp585,Mt BC / yr,Emissions|BC,2015,9.7274
1,REMIND-MAGPIE,World,ssp585,Mt CH4 / yr,Emissions|CH4,2015,388.073
2,REMIND-MAGPIE,World,ssp585,Mt CO / yr,Emissions|CO,2015,934.35
3,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,2015,3517.44
4,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,2015,35635.3
5,REMIND-MAGPIE,World,ssp585,Mt NH3 / yr,Emissions|NH3,2015,65.2797
6,REMIND-MAGPIE,World,ssp585,Mt NOx / yr,Emissions|NOx,2015,155.52
7,REMIND-MAGPIE,World,ssp585,Mt OC / yr,Emissions|OC,2015,34.746
8,REMIND-MAGPIE,World,ssp585,Mt SO2 / yr,Emissions|Sulfur,2015,100.771
9,REMIND-MAGPIE,World,ssp585,Mt VOC / yr,Emissions|VOC,2015,227.245
10,REMIND-MAGPIE,World,ssp585,kt C2F6 / yr,Emissions|C2F6,2015,1.57
11,REMIND-MAGPIE,World,ssp585,kt C3F8 / yr,Emissions|C3F8,2015,0.4478
12,REMIND-MAGPIE,World,ssp585,kt C4F10 / yr,Emissions|C4F10,2015,0.0994
13,REMIND-MAGPIE,World,ssp585,kt C5F12 / yr,Emissions|C5F12,2015,0.0435
14,REMIND-MAGPIE,World,ssp585,kt C6F14 / yr,Emissions|C6F14,2015,0.35
15,REMIND-MAGPIE,World,ssp585,kt C7F16 / yr,Emissions|C7F16,2015,0.2338
16,REMIND-MAGPIE,World,ssp585,kt C8F18 / yr,Emissions|C8F18,2015,0.1014
17,REMIND-MAGPIE,World,ssp585,kt CCl4 / yr,Emissions|CCl4,2015,47.5476
18,REMIND-MAGPIE,World,ssp585,kt CF4 / yr,Emissions|CF4,2015,10.8699
19,REMIND-MAGPIE,World,ssp585,kt CFC11 / yr,Emissions|CFC11,2015,43.5734
20,REMIND-MAGPIE,World,ssp585,kt CFC113 / yr,Emissions|CFC113,2015,0.8742
21,REMIND-MAGPIE,World,ssp585,kt CFC114 / yr,Emissions|CFC114,2015,1.6696
22,REMIND-MAGPIE,World,ssp585,kt CFC115 / yr,Emissions|CFC115,2015,1.6714
23,REMIND-MAGPIE,World,ssp585,kt CFC12 / yr,Emissions|CFC12,2015,14.6096
24,REMIND-MAGPIE,World,ssp585,kt CH2Cl2 / yr,Emissions|CH2Cl2,2015,1267.98
25,REMIND-MAGPIE,World,ssp585,kt CH3Br / yr,Emissions|CH3Br,2015,133.823
26,REMIND-MAGPIE,World,ssp585,kt CH3CCl3 / yr,Emissions|CH3CCl3,2015,0.0
27,REMIND-MAGPIE,World,ssp585,kt CH3Cl / yr,Emissions|CH3Cl,2015,5404.81
